year,month,lgdp,ffr,lemp,lsp,epu
1900,1,,,,1.8082888,
1900,2,,,,1.8261609,
1900,3,,,,1.8341802,
1900,4,,,,1.8468788,
1900,5,,,,1.798404,
1900,6,,,,1.7681496,
1900,7,,,,1.7681496,
1900,8,,,,1.7817092,
1900,9,,,,1.7578579,
1900,10,,,,1.7934248,
1900,11,,,,1.8687205,
1900,12,,,,1.9271641,
1901,1,,,,1.9558605,
1901,2,,,,1.9810015,
1901,3,,,,2.0162356,
1901,4,,,,2.0967903,
1901,5,,,,2.0451088,
1901,6,,,,2.1400661,
1901,7,,,,2.070653,
1901,8,,,,2.084429,
1901,9,,,,2.0794415,
1901,10,,,,2.0681279,
1901,11,,,,2.0893919,
1901,12,,,,2.0731719,
1902,1,,,,2.0943301,
1902,2,,,,2.1029139,
1902,3,,,,2.1041341,
1902,4,,,,2.1377103,
1902,5,,,,2.1353493,
1902,6,,,,2.1294215,
1902,7,,,,2.1517622,
1902,8,,,,2.1781549,
1902,9,,,,2.1804175,
1902,10,,,,2.1482677,
1902,11,,,,2.1090002,
1902,12,,,,2.0856721,
1903,1,,,,2.1353493,
1903,2,,,,2.1294215,
1903,3,,,,2.0893919,
1903,4,,,,2.0476928,
1903,5,,,,2.0281482,
1903,6,,,,1.9712994,
1903,7,,,,1.9387417,
1903,8,,,,1.8916048,
1903,9,,,,1.8671761,
1903,10,,,,1.8341802,
1903,11,,,,1.83737,
1903,12,,,,1.8825139,
1904,1,,,,1.8991179,
1904,2,,,,1.8718022,
1904,3,,,,1.8687205,
1904,4,,,,1.8931119,
1904,5,,,,1.8718022,
1904,6,,,,1.8733395,
1904,7,,,,1.9139771,
1904,8,,,,1.9473377,
1904,9,,,,1.9906104,
1904,10,,,,2.0476928,
1904,11,,,,2.1004689,
1904,12,,,,2.1102133,
1905,1,,,,2.1317968,
1905,2,,,,2.1747518,
1905,3,,,,2.2027647,
1905,4,,,,2.1905355,
1905,5,,,,2.1400661,
1905,6,,,,2.1517622,
1905,7,,,,2.1826749,
1905,8,,,,2.2192035,
1905,9,,,,2.2224591,
1905,10,,,,2.2364452,
1905,11,,,,2.2310891,
1905,12,,,,2.2554934,
1906,1,,,,2.2894998,
1906,2,,,,2.2823825,
1906,3,,,,2.2575877,
1906,4,,,,2.2438962,
1906,5,,,,2.2170272,
1906,6,,,,2.2300143,
1906,7,,,,2.2038691,
1906,8,,,,2.275214,
1906,9,,,,2.3055806,
1906,10,,,,2.2995806,
1906,11,,,,2.2955606,
1906,12,,,,2.2864556,
1907,1,,,,2.2575877,
1907,2,,,,2.225704,
1907,3,,,,2.1222615,
1907,4,,,,2.1270406,
1907,5,,,,2.0918641,
1907,6,,,,2.0592389,
1907,7,,,,2.0967903,
1907,8,,,,2.0188951,
1907,9,,,,2.008214,
1907,10,,,,1.8931119,
1907,11,,,,1.8325815,
1907,12,,,,1.8825139,
1908,1,,,,1.9242487,
1908,2,,,,1.8870696,
1908,3,,,,1.9271641,
1908,4,,,,1.9796212,
1908,5,,,,2.0320878,
1908,6,,,,2.0333977,
1908,7,,,,2.0693913,
1908,8,,,,2.1114247,
1908,9,,,,2.1004689,
1908,10,,,,2.1126347,
1908,11,,,,2.1781549,
1908,12,,,,2.2005522,
1909,1,,,,2.2038691,
1909,2,,,,2.1747518,
1909,3,,,,2.1882958,
1909,4,,,,2.2321627,
1909,5,,,,2.2648833,
1909,6,,,,2.2823825,
1909,7,,,,2.296567,
1909,8,,,,2.320425,
1909,9,,,,2.3214068,
1909,10,,,,2.3253245,
1909,11,,,,2.320425,
1909,12,,,,2.332144,
1910,1,,,,2.3105533,
1910,2,,,,2.2741857,
1910,3,,,,2.2985771,
1910,4,,,,2.2741857,
1910,5,,,,2.2575877,
1910,6,,,,2.2082744,
1910,7,,,,2.1564026,
1910,8,,,,2.1804175,
1910,9,,,,2.1871743,
1910,10,,,,2.2321627,
1910,11,,,,2.2310891,
1910,12,,,,2.2027647,
1911,1,,,,2.2267835,
1911,2,,,,2.2438962,
1911,3,,,,2.2321627,
1911,4,,,,2.2278614,
1911,5,,,,2.2491844,
1911,6,,,,2.2690284,
1911,7,,,,2.2648833,
1911,8,,,,2.2159374,
1911,9,,,,2.1598687,
1911,10,,,,2.1656194,
1911,11,,,,2.2049723,
1911,12,,,,2.2093728,
1912,1,,,,2.2104697,
