yq,epu,EPU,h_EPU_war,lsp,ffr,lemp,ldurable,lnondurable,lgdp,lgross,lfixed,lnonres,lstruct,lequip,lpce,lip,vix,eu,lresident,year,mich,quarter,time,ym,linvest,lconsumption,dlgdp,l1,f1,l2,f2,l3,f3,recession
1900,,,192.36452,1.8228767,,,,,1.1563359,,,,,,,,,,,1900,,1,7600,1900,,,,,.008649826,,.0010335445,,.0038657188,0
1900.25,,,125.91666,1.8044775,,,,,1.1649858,,,,,,,,,,,1900,,2,7601,1900.25,,,.008649826,,.0010335445,,.0038657188,,.070584655,0
1900.5,,,132.41125,1.7692389,,,,,1.1660193,,,,,,,,,,,1900,,3,7602,1900.5,,,.0010335445,.008649826,.0038657188,,.070584655,,.047709584,0
1900.75,,,118.23462,1.8631032,,,,,1.169885,,,,,,,,,,,1900,,4,7603,1900.75,,,.0038657188,.0010335445,.070584655,.008649826,.047709584,,.007722497,0
1901,,,139.996,1.9843658,,,,,1.2404697,,,,,,,,,,,1901,,1,7604,1901,,,.070584655,.0038657188,.047709584,.0010335445,.007722497,.008649826,.0084233284,0
1901.25,,,109.68147,2.0939884,,,,,1.2881793,,,,,,,,,,,1901,,2,7605,1901.25,,,.047709584,.070584655,.007722497,.0038657188,.0084233284,.0010335445,-.024466038,0
1901.5,,,106.32851,2.0781746,,,,,1.2959018,,,,,,,,,,,1901,,3,7606,1901.5,,,.007722497,.047709584,.0084233284,.070584655,-.024466038,.0038657188,.0017002821,0
1901.75,,,144.94844,2.0768971,,,,,1.3043251,,,,,,,,,,,1901,,4,7607,1901.75,,,.0084233284,.007722497,-.024466038,.047709584,.0017002821,.070584655,.020495653,0
1902,,,96.251076,2.1004593,,,,,1.2798591,,,,,,,,,,,1902,,1,7608,1902,,,-.024466038,.0084233284,.0017002821,.007722497,.020495653,.047709584,-.0025783777,0
1902.25,,,92.040184,2.1341603,,,,,1.2815593,,,,,,,,,,,1902,,2,7609,1902.25,,,.0017002821,-.024466038,.020495653,.0084233284,-.0025783777,.007722497,.032674432,0
1902.5,,,63.107864,2.1701117,,,,,1.302055,,,,,,,,,,,1902,,3,7610,1902.5,,,.020495653,.0017002821,-.0025783777,-.024466038,.032674432,.0084233284,.022152781,0
